block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
101,SERANGOON NTH AVE 1,1.37103631988093,103.870360910842,5.0,1.0,2.0,,3.0,2.0,9.0,9.0,9.0,13.0,8.0,7.0,7.0,2.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,7.0,1.0,4.0,4.0,1.0,3.0,
101,SIMEI ST 1,1.34084991073363,103.951433717517,,,,4.0,7.0,2.0,16.0,10.0,11.0,16.0,4.0,5.0,8.0,7.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,
101,TAMPINES ST 11,1.34740034584161,103.945294915705,2.0,1.0,5.0,4.0,9.0,11.0,9.0,5.0,17.0,7.0,4.0,7.0,5.0,9.0,6.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,2.0,5.0,1.0,2.0,1.0,,4.0,1.0,6.0,2.0,7.0,
101,TECK WHYE LANE,1.37788964623984,103.754239909547,,,,,5.0,3.0,2.0,6.0,5.0,6.0,2.0,4.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,1.0,,3.0,1.0,,1.0,6.0,1.0,2.0,2.0,
101,TOWNER RD,1.31942539040728,103.861087462608,,2.0,1.0,1.0,,2.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,,,1.0,,
101,WOODLANDS ST 13,1.43598268540188,103.781932747463,2.0,1.0,4.0,6.0,7.0,4.0,9.0,23.0,24.0,15.0,8.0,8.0,13.0,12.0,7.0,10.0,6.0,1.0,2.0,3.0,8.0,6.0,7.0,5.0,2.0,3.0,4.0,6.0,5.0,1.0,1.0,1.0,4.0,5.0,
101,YISHUN AVE 5,1.43053575384082,103.827667722074,2.0,4.0,1.0,2.0,7.0,3.0,2.0,4.0,10.0,9.0,6.0,5.0,10.0,5.0,4.0,6.0,7.0,9.0,7.0,7.0,11.0,5.0,5.0,3.0,2.0,,5.0,3.0,7.0,4.0,3.0,2.0,5.0,4.0,
101A,LOR 2 TOA PAYOH,1.33974126719165,103.847264187382,,,,,,,,,12.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,,1.0,2.0,,2.0,1.0,,4.0,,,2.0,2.0,2.0,2.0,
101A,PUNGGOL FIELD,1.39794616776941,103.905945136259,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,7.0,3.0,4.0,,,2.0,1.0,,5.0,5.0,3.0,5.0,1.0,5.0,
101B,LOR 2 TOA PAYOH,1.33959884500116,103.847605414427,,,,,,,,5.0,4.0,2.0,1.0,2.0,3.0,,,3.0,3.0,,2.0,,,1.0,,1.0,,,2.0,,,,1.0,1.0,1.0,,
